registered,cnt
473,498
383,410
74,107
243,290
49,70
130,152
354,443
202,225
91,102
110,144
129,138
385,411
66,70
341,539
241,475
9,9
331,426
124,136
232,339
208,358
308,366
168,185
113,145
378,605
147,172
81,182
143,167
5,6
1,1
344,430
46,47
5,5
299,309
218,224
259,298
25,28
217,337
5,5
143,171
350,463
16,19
58,63
163,208
429,441
6,7
143,163
170,228
22,23
204,240
77,139
96,132
76,84
78,86
15,15
92,139
129,173
124,141
132,140
181,226
4,6
110,135
151,190
178,221
71,90
82,108
86,88
5,8
72,75
61,64
543,559
36,38
10,17
256,502
2,2
726,815
8,13
330,360
300,315
324,488
173,203
28,28
361,374
349,408
258,385
76,92
178,190
106,113
174,254
128,219
105,116
369,455
7,7
120,136
323,371
148,203
269,354
14,17
62,72
201,317
306,418
99,113
105,114
169,201
640,672
54,57
151,199
236,441
63,64
386,409
5,6
9,9
13,13
16,19
584,665
211,292
41,41
22,24
129,162
307,489
163,221
168,253
380,385
54,93
206,248
208,322
350,386
12,13
143,176
324,387
90,120
48,53
80,118
11,16
17,19
7,7
101,111
267,331
147,149
198,246
268,345
85,92
74,83
461,476
51,59
8,11
110,117
202,281
1,1
479,551
15,17
283,416
117,117
141,143
70,87
146,189
92,94
584,665
5,7
35,37
438,516
77,112
7,10
114,150
90,99
98,153
744,871
310,345
163,194
140,174
45,45
106,123
176,241
86,94
5,5
9,10
180,209
183,187
159,170
177,189
32,36
604,624
267,359
74,86
83,117
89,113
225,258
212,281
58,66
426,480
315,499
285,295
5,6
14,16
5,6
95,128
95,107
22,22
116,147
118,118
26,26
66,70
563,590
348,384
8,10
121,133
119,158
199,226
252,257
150,222
141,268
84,115
141,148
54,58
3,4
292,367
153,175
6,7
6,7
167,252
209,404
58,72
4,4
28,32
198,255
71,88
134,149
16,17
138,151
217,363
12,16
8,11
58,65
206,212
67,85
151,225
43,48
32,35
80,88
24,30
67,86
252,258
66,86
124,146
392,483
51,65
540,561
75,93
205,291
161,202
207,221
253,308
9,9
50,68
242,305
102,130
3,5
189,290
141,194
53,53
33,38
144,162
129,139
26,31
479,538
123,134
86,112
8,16
113,178
40,44
316,435
8,8
527,589
26,32
19,19
27,33
259,289
147,216
183,300
260,298
668,693
120,161
126,157
84,84
402,419
91,96
208,221
114,169
128,168
155,161
23,24
357,564
265,361
335,395
71,75
32,34
368,395
14,16
100,117
30,33
483,525
134,153
179,311
117,140
400,666
157,209
198,272
352,462
372,488
5,6
89,95
38,39
237,387
72,82
233,244
17,20
260,278
279,312
701,754
341,401
39,47
10,18
113,163
97,172
189,197
26,26
4,6
5,5
366,369
37,40
100,136
472,495
14,20
185,300
211,216
39,46
258,299
27,33
110,146
136,163
201,208
168,177
86,102
5,5
213,258
86,104
45,72
137,154
37,38
413,483
194,210
488,564
29,32
126,174
162,173
269,315
176,222
28,28
134,174
95,119
216,320
66,77
83,87
384,394
21,22
259,458
225,325
2,3
142,175
48,49
391,522
9,9
108,122
204,206
108,110
102,108
240,285
43,46
320,392
145,209
115,126
25,28
47,58
387,399
342,515
318,359
44,59
174,239
8,12
9,9
129,159
136,182
350,383
115,121
135,152
105,116
133,205
73,79
20,21
317,465
201,282
296,358
34,35
1,1
131,178
3,12
130,210
49,50
147,165
206,209
212,233
558,668
53,56
16,20
288,309
632,710
246,285
66,75
81,119
225,265
42,53
4,4
254,437
4,5
70,102
61,66
236,282
7,7
56,60
419,502
286,330
184,242
4,4
157,207
2,2
77,101
294,389
192,260
415,440
104,126
153,206
79,87
235,290
73,117
132,162
28,32
386,421
31,43
75,76
171,178
190,248
92,111
16,21
16,21
16,19
94,123
35,37
289,308
6,7
191,361
124,125
679,793
187,249
147,174
22,28
191,245
118,129
154,165
7,9
4,5
55,96
337,425
318,402
80,95
19,23
75,78
81,120
134,190
105,127
36,36
122,139
419,649
37,39
390,715
4,4
73,74
4,5
140,159
162,167
24,24
615,688
158,213
31,38
2,2
160,195
127,141
62,80
90,92
399,602
105,124
186,207
302,358
12,14
1,1
26,26
226,332
188,276
415,499
157,240
121,167
80,89
202,270
153,214
40,74
17,17
399,547
3,5
2,2
8,11
7,8
217,233
29,40
50,59
263,363
52,63
162,184
94,140
127,196
9,10
108,111
147,167
43,55
14,20
8,8
290,383
256,437
5,5
249,369
333,344
228,360
531,547
5,5
3,4
256,327
200,282
252,382
264,373
478,495
103,155
7,9
131,158
238,394
223,289
141,190
33,37
84,102
236,286
178,245
132,155
335,531
46,49
61,79
253,283
98,145
93,129
111,134
87,125
14,15
144,269
2,2
510,757
4,4
66,87
7,8
46,50
32,42
19,23
22,23
119,171
50,59
32,32
6,6
24,32
180,211
146,173
105,116
18,28
154,216
472,557
26,27
108,145
244,360
11,11
194,245
69,84
4,8
3,3
24,28
7,7
247,302
67,78
178,251
24,25
82,97
230,341
253,352
31,42
147,192
129,179
262,379
18,22
155,264
385,488
279,367
5,5
615,662
109,115
32,38
43,45
70,99
258,462
157,189
236,260
188,218
166,194
2,3
36,40
192,324
48,49
12,12
5,5
8,12
1,1
779,817
27,28
137,200
186,209
235,322
174,193
8,8
139,172
47,49
163,198
281,309
111,138
62,71
281,289
19,23
672,713
137,169
1,2
119,142
347,627
62,67
45,45
13,20
331,351
150,172
467,492
487,547
4,7
98,110
89,137
35,47
185,226
397,466
131,147
44,44
253,312
751,834
24,37
224,308
5,6
7,10
375,406
242,350
41,47
161,222
399,470
128,135
20,22
186,209
46,47
213,264
316,391
128,162
544,561
358,381
225,277
240,328
39,44
150,184
8,8
391,419
822,899
155,304
4,5
51,54
148,170
30,38
19,22
100,110
127,131
4,5
278,280
140,160
114,122
115,144
167,185
8,10
205,261
138,174
199,262
4,5
230,314
4,11
5,6
20,27
4,6
156,212
52,52
57,70
3,4
162,229
8,8
45,55
5,6
6,10
1,2
52,64
147,193
302,332
143,206
65,87
248,268
227,251
29,36
48,67
114,151
392,422
138,192
58,63
317,494
116,125
100,119
27,30
15,16
88,88
323,428
106,159
876,963
275,452
221,366
238,268
32,47
50,51
8,12
41,44
17,30
176,189
18,18
317,362
39,40
474,489
194,293
10,11
147,154
56,107
474,492
494,509
326,490
49,54
6,8
108,122
28,29
89,116
96,116
35,45
62,66
137,141
9,11
240,320
410,438
235,253
55,58
649,681
404,560
168,202
2,2
27,27
107,112
61,68
1,1
78,105
221,223
2,3
28,28
25,31
416,497
4,4
79,108
9,14
222,292
113,154
310,391
48,56
272,471
301,509
189,236
56,65
244,252
158,246
134,147
58,67
3,3
35,37
114,148
110,137
1,1
175,192
255,295
5,6
178,220
147,152
33,33
230,307
238,291
53,69
40,50
112,151
137,209
2,4
148,157
3,3
135,179
310,540
318,501
22,26
6,6
40,40
279,430
1,1
15,19
93,133
63,69
128,138
134,139
626,704
51,57
6,6
128,134
18,23
143,201
317,513
153,203
44,48
71,105
549,622
5,5
4,6
65,82
154,203
546,558
102,128
172,242
1,2
161,172
46,121
241,298
98,156
188,249
286,336
210,245
4,4
145,170
341,404
86,106
409,426
23,28
15,17
261,272
152,170
464,555
176,201
153,190
14,25
263,367
196,245
21,31
8,14
230,493
218,275
228,312
143,149
25,30
60,65
17,29
742,827
62,63
263,371
84,88
53,53
264,311
681,801
13,13
2,2
114,201
123,145
157,238
256,383
252,377
580,643
320,464
476,517
4,5
14,16
181,214
31,31
124,132
103,131
33,34
96,122
2,2
6,6
141,161
5,5
8,9
532,604
130,185
9,12
150,158
52,63
170,238
167,170
327,502
53,58
205,236
294,320
44,50
281,503
554,566
54,54
203,247
45,45
0,1
165,209
45,48
314,434
5,5
129,171
341,512
5,7
8,13
253,444
114,122
436,504
65,71
5,7
179,214
149,157
56,66
68,81
332,374
4,4
11,12
146,168
31,31
260,391
258,451
8,8
81,100
187,247
232,374
126,170
789,901
235,410
79,84
83,96
216,266
35,36
453,518
218,360
18,23
7,13
3,4
230,293
4,6
263,304
19,24
174,205
23,23
6,10
3,3
359,585
13,25
207,236
147,163
136,308
261,456
6,6
26,29
89,93
7,7
219,288
55,57
14,20
165,172
30,46
580,601
104,136
394,407
260,313
690,719
186,202
3,12
10,10
189,240
33,33
55,58
164,183
371,493
24,27
22,31
300,467
59,64
97,134
22,23
142,169
1,1
12,16
591,672
207,215
14,14
6,6
66,95
131,164
219,245
542,565
655,679
88,142
324,603
23,29
4,4
11,21
9,13
53,59
74,79
157,204
220,340
63,87
227,235
206,265
34,38
76,101
419,509
7,7
30,35
34,50
175,263
134,201
45,48
298,502
347,382
16,16
40,45
40,46
149,206
168,227
780,863
239,294
41,45
69,78
77,119
159,242
152,161
58,71
5,6
61,64
42,43
434,729
244,259
431,497
8,11
23,35
89,100
144,176
342,413
239,313
61,79
29,37
91,113
247,264
60,82
32,46
458,489
6,6
60,84
484,501
280,313
21,21
2,2
193,235
7,7
12,13
114,133
25,27
83,87
3,3
79,95
21,38
125,229
45,71
159,212
5,11
158,187
100,157
60,69
6,7
89,106
90,123
156,220
107,114
473,686
127,159
54,56
48,55
318,392
398,406
149,192
115,118
300,541
162,174
16,28
8,8
144,157
97,103
65,74
22,31
176,231
415,472
404,478
3,3
14,15
10,15
16,16
163,174
258,332
207,228
10,11
8,14
147,157
99,122
1,1
12,14
153,218
97,99
7,7
68,68
19,24
66,93
84,121
325,379
10,10
14,14
1,1
190,254
328,445
140,166
17,17
197,241
50,64
214,254
68,80
478,547
232,280
112,157
164,171
251,307
121,153
15,16
96,112
48,67
44,46
223,394
270,420
34,39
120,121
155,171
82,87
617,650
29,31
93,108
11,12
373,436
221,397
1,1
15,17
202,270
156,204
37,42
188,265
79,87
8,8
31,35
289,305
142,153
136,169
2,2
430,446
451,525
298,306
46,61
328,355
205,281
237,256
14,15
68,69
106,108
168,221
338,388
312,332
52,55
120,166
49,50
127,175
745,839
326,344
232,244
186,238
92,102
53,60
107,114
112,118
13,15
30,31
99,101
9,26
257,402
176,243
320,349
224,278
5,13
343,637
126,187
17,25
1,1
44,45
152,191
244,390
220,282
110,147
5,5
54,70
39,43
467,516
379,441
51,69
150,224
36,44
107,126
28,30
4,6
130,160
124,133
394,496
648,673
193,317
6,8
413,481
187,259
207,299
4,5
55,74
87,89
767,877
101,104
152,156
127,132
355,568
160,216
2,2
2,3
94,121
129,161
308,386
95,147
103,133
148,157
23,33
92,99
73,76
53,75
11,14
147,151
123,153
93,124
99,103
42,46
193,289
55,74
116,141
241,280
87,101
302,313
13,19
56,58
128,169
230,261
329,390
32,40
5,5
10,12
358,443
74,95
260,323
16,17
206,294
154,219
1,1
50,53
459,468
2,2
118,124
46,46
371,609
173,190
740,830
110,112
97,134
101,110
65,71
101,125
104,159
37,44
15,16
147,297
99,105
2,2
3,3
172,250
29,36
203,258
305,380
119,141
377,408
389,415
246,421
545,590
483,655
9,9
140,188
66,78
358,460
253,444
238,248
102,118
1,1
183,229
20,27
122,124
95,106
136,164
363,458
198,225
135,145
5,5
247,263
271,451
188,207
634,752
88,106
33,33
215,325
61,80
198,224
155,204
36,47
191,225
230,451
445,511
126,152
492,570
71,149
297,545
166,200
6,6
12,18
21,23
86,93
83,140
27,48
628,678
335,528
233,318
72,90
211,284
140,143
29,33
303,405
117,170
27,29
67,83
82,105
165,205
243,268
359,409
233,269
138,168
53,62
222,292
71,88
110,150
96,112
40,40
245,253
29,44
48,55
133,187
115,137
183,198
112,143
275,370
3,3
371,392
434,486
177,215
276,329
10,13
158,200
64,68
166,232
6,6
180,254
153,203
95,143
98,157
49,56
366,455
191,311
362,378
10,11
201,215
161,167
10,12
490,564
88,93
37,49
602,680
156,223
148,367
63,68
211,226
709,729
118,154
160,223
255,271
702,750
513,584
62,92
49,62
6,7
677,779
421,457
256,274
57,67
229,331
8,8
55,60
114,118
66,78
