registered,cnt
209,332
298,374
9,10
218,271
4,9
76,80
111,157
736,818
67,83
236,307
21,26
166,195
22,30
397,452
192,290
342,515
10,10
2,2
9,13
433,500
428,483
171,219
115,118
108,120
93,99
137,155
12,18
252,258
48,60
97,135
154,185
153,170
216,279
75,102
83,104
56,58
123,136
2,3
107,118
149,236
99,104
3,3
206,265
267,341
6,8
371,392
223,394
201,254
241,245
40,43
142,180
176,214
89,96
1,1
107,110
7,10
281,302
159,165
154,216
300,337
175,199
10,13
8,10
47,50
15,18
289,300
209,258
5,11
202,304
47,49
4,4
6,10
111,199
4,4
32,37
237,299
114,280
61,78
258,420
31,39
55,84
9,18
169,220
463,528
111,116
244,273
55,56
209,388
30,51
86,130
9,16
80,92
196,267
210,221
4,4
13,17
123,148
437,626
19,29
129,149
758,797
88,93
251,288
265,333
207,225
154,194
212,226
4,7
120,157
3,3
489,569
277,288
10,10
468,508
100,131
45,50
1,2
7,8
467,492
27,28
123,146
147,163
116,122
25,25
139,186
82,87
143,165
239,301
241,272
43,59
13,13
10,12
270,281
70,71
168,190
204,279
8,10
248,268
26,34
46,55
198,263
255,298
10,12
548,671
619,667
161,192
4,5
133,162
143,155
2,2
279,300
28,29
274,355
14,17
306,418
19,19
439,466
235,290
69,75
221,280
5,5
52,67
5,5
152,217
63,75
19,20
272,323
137,219
21,32
156,189
154,179
397,428
216,281
4,4
642,750
112,145
480,566
21,24
65,96
366,412
150,194
195,256
247,333
7,7
802,970
313,343
1,2
214,235
34,40
288,375
117,154
513,563
132,155
55,67
175,182
100,106
65,69
32,34
127,148
189,272
62,63
290,447
178,241
2,2
177,185
542,614
39,39
35,40
284,335
53,53
179,210
105,121
16,17
19,27
27,28
7,13
22,32
50,60
9,12
67,87
11,11
276,381
176,246
55,84
195,279
534,562
147,192
17,18
426,480
189,302
220,232
8,8
3,5
30,32
54,77
7,7
629,648
540,594
25,39
196,263
135,166
216,331
1,1
533,557
16,16
428,453
24,24
790,872
146,155
130,171
246,301
234,319
107,111
286,450
164,232
213,228
384,404
333,353
72,88
38,44
13,15
246,285
16,17
81,119
203,283
141,172
61,78
7,8
96,120
212,357
233,274
142,146
371,465
175,289
17,34
213,292
72,77
152,180
25,26
227,272
5,5
193,305
81,85
226,269
8,10
114,129
278,333
16,17
101,133
150,158
61,73
229,364
572,693
164,193
99,103
22,22
208,326
119,129
265,379
185,269
356,512
141,233
317,396
237,285
35,38
166,188
8,8
471,530
48,60
196,247
20,20
31,36
3,3
257,276
96,104
28,29
159,239
8,8
2,2
247,522
75,98
43,43
25,27
642,682
166,217
577,644
108,123
220,264
1,1
104,121
179,244
347,382
224,279
11,14
199,224
8,8
3,4
142,192
38,38
88,154
77,104
60,80
711,745
291,306
127,133
202,344
159,192
6,7
581,638
37,52
278,305
168,222
491,682
118,191
489,508
171,269
371,447
19,21
253,281
343,349
227,315
73,98
156,185
10,14
393,412
1,2
107,180
147,161
533,623
3,3
33,40
14,14
7,11
176,248
14,18
726,757
8,8
74,85
211,237
52,62
209,242
170,222
85,97
86,112
4,5
58,66
259,332
2,2
84,103
662,743
198,246
281,289
73,106
4,4
54,64
58,81
212,286
160,199
19,26
145,154
181,235
312,403
25,30
3,3
123,138
26,34
492,513
351,567
4,6
92,95
122,129
124,127
10,11
317,498
4,5
27,34
141,337
21,21
507,596
18,29
108,118
104,110
362,388
11,20
108,128
192,324
74,75
85,111
5,5
81,86
1,1
103,142
114,169
151,241
2,4
5,6
124,130
218,311
22,24
91,145
166,202
131,186
39,56
10,10
74,82
150,227
147,216
29,33
116,138
225,270
15,16
408,419
80,110
27,30
139,187
293,321
84,88
290,383
8,11
59,61
14,15
187,354
5,5
13,14
10,12
113,128
46,70
7,10
74,87
50,54
2,2
602,680
133,137
22,24
231,272
56,63
24,26
2,4
4,5
471,502
290,337
146,163
229,339
93,100
7,7
33,33
54,70
444,471
25,36
79,98
168,219
286,314
32,33
116,183
32,32
88,90
27,28
82,87
115,126
88,89
86,88
162,247
127,134
181,238
4,4
28,37
348,384
14,15
105,127
278,287
263,266
357,395
114,151
58,70
294,442
22,22
7,7
113,163
234,289
351,395
170,205
221,238
62,70
5,5
28,31
324,349
185,227
127,147
64,98
448,513
42,46
120,127
37,46
209,282
449,539
366,659
259,356
2,3
458,467
102,115
85,196
94,96
251,274
153,226
40,43
66,86
739,825
477,495
448,464
311,344
28,31
139,185
95,101
142,198
20,27
8,33
147,197
101,122
163,260
401,414
227,252
157,193
42,43
47,47
7,7
10,12
43,45
3,3
118,138
94,107
269,389
299,309
221,309
176,240
274,539
23,26
109,115
10,10
16,19
24,25
3,3
104,132
406,491
89,95
133,167
678,771
255,297
68,69
527,591
172,181
203,234
284,452
19,20
28,34
320,364
668,680
166,182
287,302
145,171
9,12
503,595
185,279
2,2
115,157
9,11
20,21
64,65
33,42
23,24
806,839
182,253
529,545
31,31
33,33
315,332
3,3
576,605
187,259
186,256
70,99
26,30
474,499
64,88
29,36
22,24
154,203
4,11
47,63
4,4
288,583
205,236
137,162
80,97
179,182
223,278
114,116
117,130
294,389
12,15
60,61
2,3
4,4
19,19
158,299
266,483
162,169
17,18
211,229
120,129
56,58
14,19
8,8
271,451
263,331
23,23
22,32
299,325
6,6
114,157
11,13
300,449
26,26
393,446
64,85
208,263
112,141
94,101
11,15
29,32
167,173
308,348
288,492
120,211
256,428
346,628
79,100
41,48
268,456
226,274
133,196
86,123
208,322
50,69
4,5
401,418
37,39
62,82
195,228
242,286
123,202
73,93
370,382
176,222
120,121
139,182
56,65
17,17
43,51
120,147
453,493
36,41
100,121
189,236
222,303
259,298
5,5
304,531
139,168
137,190
244,259
184,301
53,68
56,64
10,13
93,171
495,508
15,17
38,38
104,122
90,127
252,474
378,581
469,536
140,157
78,89
1,3
243,321
150,169
214,258
201,281
46,49
121,170
209,224
2,2
48,51
265,299
114,135
4,6
328,355
59,91
202,270
240,320
19,20
4,4
447,584
7,9
46,57
58,58
0,1
340,419
362,448
258,299
260,300
91,102
24,30
497,530
544,593
311,444
73,74
6,8
108,118
103,108
41,54
174,200
86,99
74,99
230,281
13,19
310,329
47,51
631,673
433,489
67,79
82,151
119,171
168,271
65,71
219,320
93,176
260,404
8,11
470,483
157,165
204,235
120,138
247,331
1,1
54,58
82,83
53,72
15,22
359,585
20,21
403,410
59,80
62,67
136,165
202,279
141,155
392,422
197,230
62,71
14,15
230,293
52,53
165,185
48,56
77,90
38,40
5,5
27,27
196,264
175,203
90,113
62,92
116,149
203,308
124,155
10,17
25,26
9,11
188,243
16,17
33,52
4,6
156,208
18,26
6,7
1,2
57,63
231,371
3,3
15,17
17,19
8,12
35,38
101,106
1,1
18,28
744,852
492,571
423,452
61,68
31,32
105,149
75,104
36,36
14,14
257,299
319,537
186,207
354,397
147,184
214,363
662,743
227,326
238,316
139,162
35,37
12,43
146,211
29,33
64,74
133,187
110,150
402,472
210,247
59,67
21,25
340,485
103,118
8,15
48,52
108,111
7,7
367,584
199,209
3,3
257,277
196,240
6,7
170,175
14,14
12,16
11,12
250,363
108,165
159,216
100,151
67,93
127,151
343,355
28,31
21,24
16,19
500,519
210,288
140,181
241,401
323,495
17,19
67,76
86,118
16,17
138,180
255,446
292,302
7,7
31,33
55,58
250,354
16,23
378,427
144,154
19,25
170,228
4,6
130,134
158,246
152,156
21,22
148,180
130,189
110,114
360,373
155,218
196,271
43,48
136,159
11,17
8,13
704,795
194,275
8,8
119,124
142,160
5,6
213,235
391,645
46,47
4,6
229,323
509,544
22,24
23,29
92,108
709,820
232,306
37,42
79,134
193,255
122,153
184,187
11,14
69,72
1,3
417,456
59,68
2,2
3,5
44,45
326,509
12,21
28,45
16,17
324,387
33,33
46,52
554,645
126,167
5,5
129,173
298,314
719,822
226,328
110,111
137,180
3,3
1,1
55,60
192,260
53,61
186,222
489,500
13,13
215,233
202,317
93,108
